lyrics,sentiment
"We outlawed, then I bogart, any pros that got 'proached at
With a toe-tag, get broke off in the projects with a skateboard
I roll past and I blaze y'all like, ""Doo, doo,"" I hate y'all
When the beef cooked, I ate y'all like, ""Mmm, mmm!""
Let's play ball in a ballpark with all sharks and a blindfold
I rhyme cold, my K hot, your 9 cold, that bark like K9s on
That banana clip, straight from the rip
I'll make that shirt say R.I.P., I'm on some shit
If I'm not the hottest then Hell must have froze over
You thought it was safe then forgot what the code was
I carry traits of a traumatized soldier
Don't look in my face, I might snap, I might choke ya
Spine right out of place, give me dap like you 'posed to
Darts at your posters, dark nights like this
I metamorph like I'm 'posed to, I might slice my wrist
Or pretend like a vulture and drop off this cliff",tension
"Uh-uh, fuck that
Eight doobies to the face, fuck that
Twelve bottles in the case, nigga, fuck that
Two pills and a half-weight, nigga, fuck that
Got a high tolerance when your age don't exist
Man, I swear my nigga trippin' off that shit again
Pick him up, then I set him in cold water
Then I order someone to bring him Vicodin
Hope that take the pain away
From the feelin' that he feel today
You know when you part of Section.80
You feel like no one can relate
'Cause you are, you are, a loner, loner
Marijuana endorphins make you stronger, stronger
I'm in the house party trippin' off
My generation sippin' cough syrup like it's water
Never no pancakes in the kitchen
Man, not one of our lives is caught up
In the daily superstition that the world is 'bout to end
Who gives a fuck? We never do listen
'Less it comes with an 808 (A melody and some hoes)
PlayStation and some drank (Technology bought my soul)
Lookin' around and all I see is a big crowd that's product of me
And they probably relatives relevant for a rebel's dream
Yep, her president is Black, she Black too
Purple Label on her back, but that tab is light blue
She take it straight to the head, then she look at me
She got ADHD
Eight doobies to the face, fuck that
Twelve bottles in the case, nigga, fuck that
Two pills and a half-weight, nigga, fuck that
Got a high tolerance when your age don't exist
Like woah-woah, woah, woah-woah, woah (Don't got a limit, just give me some more with it)
Woah-woah, woah, woah-woah, woah (Don't got a limit, just give me some more with it)
(They always told me ADHD did it)
Woah, woah-woah
And then she started
And then she started feelin' herself like no one else in this apartment
""Beg your pardon? Oh, I rap, baby, how old are you?""
She say twenty-two, I say twenty-three, ""Okay, then we are crack babies,"" damn
""Why you say that?"" She said, ""Where my drink at?""
""I'ma tell you later, just tell your neighbors and the police relax""
I stood up, shut the blind, closed the screen, Jumbotron
Made to the back where she reside, then she said, ""Read between the lines,"" yep
Hope that I get close enough when the lights turn down
And the fact that she just might open up when the Nuvo start to drown
Her body, and I know the both of us really deep in the mood now
It's nothin' we can do now, somebody walked in with a pound (Woah)
Of that Bay Area kush, she looked at me, then looked
At it, then she grabbed it, then she said, ""Get it understood""
""You know why we crack babies? Because we born in the '80s
The ADHD crazy""
Eight doobies to the face, fuck that
Twelve bottles in the case, nigga, fuck that
Two pills and a half-weight, nigga, fuck that
Got a high tolerance when your age don't exist
Like woah-woah, woah, woah-woah, woah (Don't got a limit, just give me some more with it)
Woah-woah, woah, woah-woah, woah (Don't got a limit, just give me some more with it)
(They always told me ADHD did it)
Woah, woah-woah","power, sadness, tension"
"Life is a traffic jam, life is a traffic jam
Life is a traffic jam, life is a traffic jam
Life is a traffic jam, life is a traffic jam
Life is a traffic jam, life is a traffic jam
Life is a traffic jam
Life...
I wrote this because I was ordered to
People say I speak for generation Y
Why lie? I do, Section.80
Your son'll play me if radio won't
Daughters that just turn one 'til twenty-one listen to Kendrick
For instance
Take out that student loan, and pay off your college degree
And do exactly what you see on TV
True story
Hmm
Can you repeat that for me, Soul?
See, a lot of y'all don't understand Kendrick Lamar
Because you wonder how I could talk about money, hoes, clothes, God, and history all in the same sentence
You know what all them things have in common?
Only half of the truth, if you tell it
See I spent twenty-three years on this earth searching for answers
'Til one day I realized I had to come up with my own
I'm not on the outside looking in
I'm not on the inside looking out
I'm in the dead fucking center, looking around
You ever seen a newborn baby kill a grown man?
That's an analogy for the way the world make me react
My innocence been dead
So, the next time I talk about money, hoes, clothes, God, and history all in the same sentence
Just know I meant it, and you felt it
'Cause you too are searching for answers
I'm not the next pop star, I'm not the next socially-aware rapper
I am a human motherfuckin' being over dope-ass instrumentation
Kendrick Lamar
Now fuck 'em up, Terrace
(Soul)
I watch this fire that we’re gathered around
And see that it burns similar to the fire that’s inside you
Section.80
Section.80 babies
A generation of bliss and disobedience
No, they can't control us
No, they can't control you
No, they can't control us
But we can control each other
We build our own world
If you don't leave with nothing else tonight
You will leave with knowing yourself
You will leave knowing that you represent something that's bigger than all of us
Our family
Heart, honor, and respect
This is you
This is me
And we are HiiiPower",sadness
"She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
Uh, she got me goin' (Now, she goin'), I'm all in (All in)
Fifty stories (Damn), I'm fallin' (Mm)
Where you been? Is it planet Mars?
Far beyond the stars? Are you a Martian?
You're unfamiliar (Unfamiliar) but still, I feel ya (Feel me?)
Energy is sendin' me towards the ceilin'
I'm high now (High now?), are you up there? (Up there?)
If you was, I would climb every other stair (Mm)
I gotta stare (Gotta stare), I mean, wow
And I'm wowed, no one compares (No one compares)
A one-on-one (One-on-one), you must've won (Must've won)
Every pageant in America when you was young
You might also like[Pre-Chorus]
Lips, hips, hair drip down her back (Crazy)
Body frame (Crazy), insane (Crazy)
The only girl that can make time
Then make me stop—
She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
Uh, so, now we on (Now we on), so, now we goin' (Now we goin')
Livin' in the city of the unknown (Unknown)
I show her off (Show me off), I stunt with her (Stunt with me)
We do it sweet (Do it sweet), they look bitter (Mm)
Look at her get up (Look at my get up), I hear 'em say (What they say?)
""But why him?"" (""Why him?"") I hear 'em hate (Hear them hate)
I laugh at it, rather than jab at it
Then continue eternal life as a crack addict
'Cause I'm addicted (You addicted), and you the drug (Drug)
Cold turkey? (No way) No, sir (Mm-mm)
You gotta be an Odyssey from heaven and above
You definitely know, probably, I gotta give it up
[Pre-Chorus]
Lips, hips, hair drip down her back (Crazy)
Body frame (Crazy), insane (Crazy)
The only girl that can make time
Then make me stop—
She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
You somethin' different, I'm glad I found you
So pretty, I'll never do anythin' to hurt you21Embed","sadness, tenderness"
"All day hoe, my neck look sweeter than parfait hoe
Rap Derek Jeter in a red two-seater
I can throw this dick from far away hoe (swish it, swish it)
Ask me how long do it take to be the greatest
I'm a bar away hoe (swish it, swish it)
Damn Kanye never will it be safe
Bitch I already know (swish it, swish it)
24/7 365 days everybody gettin' paid
Nigga lookin' at me like I'm worth both MJ's
Chitown, PJ all of BJ
Chitown, we play for the freebase
These days, don't believe what police say
DJ's and the B-boys run shit
Only way I can sum it up, sumbitch","power, tension"
"Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)
Tell me what you gon' do to me (Do to me)
Confrontation ain't nothin' new to me (New to me)
You can bring a bullet, bring a sword, bring a morgue
But you can't bring the truth to me (Truth to me)
Fuck you and all your expectations (Expectations)
I don't even want your congratulations (Congratulations)
I recognize your false confidence and calculated promises
All in your conversation (Conversation)
I hate people that feel entitled (Entitled)
Look at me crazy 'cause I didn't invite you (Invite you)
Oh, you important? You the moral to the story? You endorsin'?
Mothafucka, I don't even like you (Like you)
Corrupt a man's heart with a gift (With a gift)
That's how you find out who you dealin' with (Dealin' with)
A small percentage who I'm buildin' with (Buildin' with)
I want the credit if I'm losin' or I'm winnin'
On my mama, that's the realest shit
You might also like[Pre-Chorus: Kendrick Lamar]
Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)
Love, let's talk about love (Let's talk about love, is)
Is it anything and everything you hoped for? (Anything, oh, oh, this)
Or do the feeling haunt you? (Haunt; haunt, haunt)
I know the feeling haunt you (Haunt)",tension
"Alls my life, I has to fight, nigga
Alls my life, I—
Hard times like, ""Yah!""
Bad trips like, ""Yah!""
Nazareth
I'm fucked up, homie, you fucked up
But if God got us, then we gon' be alright
Uh, and when I wake up
I recognize you're looking at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down?
Schemin', and let me tell you 'bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my momma I love her, but this what I like, Lord knows
Twenty of 'em in my Chevy, tell 'em all to come and get me
Reaping everything I sow, so my karma coming heavy
No preliminary hearings on my record
I'm a motherfucking gangster in silence for the record, uh
Tell the world I know it's too late
Boys and girls, I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say
You might also like[Pre-Chorus: Kendrick Lamar]
Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street fo sho'
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright
What you want you, a house? You, a car?
Forty acres and a mule? A piano, a guitar?
Anything, see my name is Lucy, I'm your dog
Motherfucker, you can live at the mall
I can see the evil, I can tell it, I know it's illegal
I don't think about it, I deposit every other zero
Thinking of my partner, put the candy, paint it on the Regal
Digging in my pocket, ain't a profit big enough to feed you
Every day my logic get another dollar just to keep you
In the presence of your chico, ah!
I don't talk about it, be about it, every day I sequel
If I got it then you know you got it, Heaven, I can reach you
Pat Dawg, Pat Dawg, Pat Dawg, my dog, that's all
Bick back and Chad, I trap the bag for y'all
I rap, I black on track so rest assured
My rights, my wrongs; I write 'til I'm right with God
[Pre-Chorus: Kendrick Lamar]
Wouldn't you know
We been hurt, been down before
Nigga, when our pride was low
Lookin' at the world like, ""Where do we go?""
Nigga, and we hate po-po
Wanna kill us dead in the street fo sho'
Nigga, I'm at the preacher's door
My knees gettin' weak, and my gun might blow
But we gon' be alright
I keep my head up high
I cross my heart and hope to die
Lovin' me is complicated
Too afraid of a lot of changes
I'm alright, and you're a favorite
Dark nights in my prayers
[Poem: Kendrick Lamar]
I remembered you was conflicted
Misusing your influence, sometimes I did the same
Abusing my power, full of resentment
Resentment that turned into a deep depression
Found myself screamin' in the hotel room
I didn't wanna self-destruct
The evils of Lucy was all around me
So I went runnin' for answers","power, tension"
"(Lama)
Tourbillion watcher, pgLang caller, 9-11 slider
Look at my garage, it's synced up
Get the genie out the bottle and point at any model
(Lama)
What, wait, what? Ayy, what?
Go, Stink, fuck it up, go, Stink, fuck it up
Go, Stink, that's what's up, go, Stink, I'm in love
Hey, boo-boo, too much complexity to learn me from Google
My mama told me that the money outgrew you
My horoscope said I'm really out my noodle
I'm troublin', I'm puzzlin', it's sudoku
Say Bey, yes, America got a problem
Geeked up, choosy love, well, they chose violence
Universal, please don't play possum
I'm a businеss man doin' as follows
Truthfully, I be lyin' in my rap song
'Cause I always fail to mention I'd slap homiе
His career didn't come with no life insurance
Hope his day one fans got some facts on him
I'm an honorary Beyhive, let's see why
Them diamonds don't be fly, they all CGI
You better get it off your chest like breast reduction
If she stressed over you, she stressed for nothin'
Hold up, wait a minute
Even AI gotta practice clonin' Kendrick
The double entendre, the encore remnants
I bop like ten men, the opps need ten men
Billboard, they know (Out for her, ride or else)
After Hov, rightfully so (Bust for else, not us)
Simmer down, I go, I go (Culture, you got us, you got us)",power
"(Yeah yuh)
These streets made for ballin' (yeah yuh)
Ten toes ain't for fallin' (yeah yuh)
I hear the world callin'
Tell me if ya all in (tell me if ya all in)
Look, look, I gotta eat, I gotta, make money with
I gotta feast, I gotta re-ly on what is known to the travelin' man
Set his own, got my Bible and my rifle in my hand, oh yeah
I gotta eat, I gotta, make money with
I gotta feast, I gotta re-ly on what is known to the travelin' man
Set his own, got my Bible and my rifle in my hand, oh yeah","power, tension"
"Heart plays in ways the mind can't figure out
Heart plays in ways the mind can't—
Heart plays in ways the mind can't figure out
My auntie is a man now
I think I'm old enough to understand now
Drinking Paul Masson with her hat turned backwards
Motorola pager, off-white Guess jacket
Blue Air Max's, gold chains, and curl kits
'93 Nissan wax job, the earliest
Big social, big personality, vocal
Played the underground verbatim and stayed local
My auntie is a man now
I watch him and his girl hold their hands down
Tip of the avenues under street lights made his
Thinking, ""I want me a bad bitch when I get big""
They hug on the corner like California King
Cold hand all up her skirt, cars whistling down the road
See, my auntie is a man now, slight bravado
Scratching the likes from lotto
Hoping that she pull up tomorrow
So I can hang out in the front seat
Six-by-nines keeping the music up under me
My auntie is a man now
Asked my momma why my uncles don't like him that much
And at the parties why they always wanna fight him that much
She said, ""Ain't no tellin'
Niggas always been jealous because he had more women
More money and more attention made more envy
Calling him anything but broke was less offending""
My auntie is a man now
I think I'm old enough to understand now
Drinking Paul Masson with her hat turned backwards
Back when it was comedic relief to say, ""Faggot""
""Faggot, faggot, faggot,"" we ain't know no better
Elementary kids with no filter, however
My auntie became a man and I took pride in it
She wasn't gay, she ate pussy, and that was the difference
That's what I told my friends in second grade
She picking me up from school, they stare at her in the face
They couldn't comprehend what I grew accustomed
We pull off bumpin' Quik like it was nothing
My auntie is a man now, what a relationship
I grew up fast, I needed no one to babysit
He gave me some cash then gave me some game
Cherry freshener on the dash, I never complained
She even cut my hair at the pad, was loving my fade
The first person I seen write a rap
That's when my life had changed
House full of demo, smoke stuck on the window
Cameras on the microphone, all women and men know
My auntie was a man now, we cool with it
The history had trickled down and made us ign'ant
My favorite cousin said he's returning the favor
And following my auntie with the same behavior
Demetrius is Mary-Ann now
He's more confident to live his plan now (Talking to the world's gonna bring you down)
But the family in disbelief this time (Talking to the world's gonna bring you down)
Convincing themselves, ""He ain't living discreet, he's fine"" (Talking to the world's gonna bring you down)
They said they never seen it in him, but I seen it (Ooh, ooh, ooh, ooh)
The Barbie dolls played off reflection of Venus (Ooh, ooh, ooh, ooh)
He built a wall so tall you couldn't climb over
He didn't laugh as hard when the kids start joking (Ooh, ooh, ooh, ooh)
""Faggot, faggot, faggot,"" we ain't know no better
Middle school kids with no filter, however
I had to be very mindful of my good cousin
I knew exactly who he was, but I still loved him
Demetrius is Mary-Ann now
I mean he's really Mary-Ann, even took things further
Changed his gender before Bruce Jenner was certain
Living his truth even if it meant see a surgeon
We didn't talk for a while, he seemed more distant
Wasn't comfortable around me, everything was offensive
But I recall we both had a sick sense of humor
Made raw, but time changes all
Demetrius is Mary-Ann now
Remember church, Easter Sunday?
I sat in the pew, you had stronger faith
More spiritual when these dudes were living life straight
Which I found ironic 'cause the pastor didn't see him the same
He said my cousin was going through some things
He promised the world we living in was an act on abomination
And Demetrius was to blame
I knew you was conflicted by the feelings of preacherman
Wondering if God still call you a decent man
Still, you found the courage to be subservient just to anoint
Until he singled you out to prove his point, saying
""Demetrius is Mary-Ann now
Church, his auntie is a man now,"" it hurt
You the most 'cause your belief was close to his words
Forcing me to stand now
I said, ""Mr. Preacherman, should we love thy neighbor?
The laws of the land or the heart, what's greater?
I recognize the study she was taught since birth
But that don't justify the feelings that my cousin preserved""
The building was thinking out loud, bad angel
That's when you looked at me and smiled, said, ""Thank you""
The day I chose humanity over religion
The family got closer, it was all forgiven
I said them F-bombs, I ain't know any better
Mistakenly, I ain't think that you'd know any different
See, I was taught words was nothing more than a sound
If ever they was pronounced without any intentions
The very second you challenged the shit I was kicking
Reminded me about a show I did out the city
That time I brung a fan on stage to rap
But disapproved the word that she couldn't say with me
You said, ""Kendrick, ain't no room for contradiction
To truly understand love, switch position
'Faggot, faggot, faggot,' we can say it together
But only if you let a white girl say 'Nigga'""","nostalgia, sadness, tension"
